"","index","volume","change","time","trader","industry","months"
"44","44","101563","0.00752344676407865","minute","D","manufact","5"
"45","45","61520","0.014547620568322","minute","C","telco","3"
"46","46","127341","0.00469960037250279","minute","D","auto","2"
"47","47","119201","0.0217375915779762","minute","A","telco","4"
"48","48","113564","0.0145971266123188","minute","A","software","2"
"49","49","124432","0.0012490672066749","minute","C","telco","2"
"50","50","104605","-0.000879197110726832","minute","B","auto","2"
"51","51","80021","0.0193477869430584","minute","C","software","4"
"52","52","124409","0.0144756783227941","minute","A","manufact","4"
"53","53","130935","0.0258151264035614","minute","D","software","2"
"54","54","104747","0.0198288683885054","minute","A","software","4"
"55","55","87671","0.00774409882976466","minute","D","telco","2"
"56","56","134117","0.00884943184075605","minute","B","health","1"
"57","57","118326","0.00261319847045115","minute","A","health","5"
"58","58","105611","0.014222610855124","minute","A","health","2"
"59","59","121988","0.00491908036887084","minute","A","telco","2"
"60","60","133197","0.0251770656367669","minute","C","telco","4"
"61","61","140171","0.0144432761776874","minute","C","software","5"
"62","62","135678","0.00530599266962227","minute","A","telco","5"
"63","63","124100","0.0174000956592105","minute","B","telco","3"
"64","64","41630","0.0199284611463539","minute","E","manufact","1"
"65","65","114705","0.0245774116806185","minute","B","telco","3"
"66","66","109549","0.0170509733572089","minute","E","software","3"
"67","67","133579","0.0251096493491863","minute","A","auto","3"
"68","68","87693","0.0146332275994252","minute","C","manufact","3"
"69","69","62984","0.0271105530932503","minute","E","health","6"
"70","70","103174","0.0241368386257611","minute","A","software","1"
"71","71","126568","0.0046524200965308","minute","B","manufact","2"
"72","72","97571","0.0198694590712397","minute","A","telco","2"
"73","73","54531","0.00520513835075584","minute","B","health","3"
"74","74","85986","0.0134944717828817","minute","E","software","5"
"75","75","106984","0.0156761203178032","minute","E","software","1"
"76","76","54153","0.0167406211758265","minute","E","software","4"
"77","77","114051","-0.00619093963074627","minute","B","telco","4"
"78","78","83171","-0.000653482745847787","minute","A","health","3"
"79","79","111918","0.00597281979881891","minute","C","health","3"
"80","80","84338","0.0234480058609953","minute","D","manufact","5"
"81","81","70897","0.00826825721211731","minute","B","auto","3"
"82","82","68899","0.0111353024251236","minute","E","auto","6"
"83","83","85300","-0.00571387947640386","minute","E","telco","6"
"84","84","115892","0.0333510062296025","minute","A","telco","6"
"85","85","115535","0.00533781853775558","minute","A","health","6"
"86","86","104142","0.0179425787817542","minute","E","auto","3"
"87","87","106769","0.00439387780670767","minute","C","health","1"
"88","88","120713","0.00508147269052696","minute","C","health","5"
"89","89","127620","0.00171215229806152","minute","C","telco","6"
"90","90","56246","0.00953715614777836","minute","B","auto","6"
"91","91","74461","0.0041155896696078","minute","C","auto","4"
"92","92","100358","0.00961614624054277","minute","D","health","3"
"93","93","94232","0.00786833155040501","minute","E","telco","3"
"94","94","79959","0.00279750127261605","minute","C","auto","2"
"95","95","51029","-0.00122283777253493","minute","B","software","6"
"96","96","62581","0.0139141450550351","minute","E","software","2"
"97","97","111592","0.0216206511559908","minute","A","manufact","1"
"98","98","106685","0.00340715233310711","minute","D","auto","6"
"99","99","31306","0.0250391753285392","minute","C","health","3"
"100","100","30318","0.00208264012557751","minute","A","health","3"
"101","101","85406","0.024381754443383","minute","B","health","1"
"102","102","109554","0.0030456227213462","minute","D","telco","2"
"103","103","135154","0.0098575787314579","minute","A","manufact","1"
"104","104","120477","0.00618028983495555","minute","C","software","6"
"105","105","71772","0.00681810204226477","minute","A","telco","4"
"106","106","24795","0.0239933470105476","minute","B","health","5"
"107","107","109009","0.0201528050104522","minute","E","software","4"
"108","108","89983","0.00331305106279798","minute","D","health","6"
"109","109","47650","0.0210955290495203","minute","D","auto","4"
"110","110","91970","0.00689187757955576","minute","A","manufact","4"
"111","111","93425","-0.00325411583519918","minute","E","auto","5"
"112","112","121321","0.00676434519256972","minute","E","manufact","2"
"113","113","71495","0.0315621858294439","minute","C","auto","3"
"114","114","159838","0.0080218164414347","minute","B","auto","4"
"115","115","81500","0.0062023399365676","minute","A","telco","5"
"116","116","128717","0.0245304915501357","minute","A","software","5"
"117","117","179954","0.01403029184543","minute","B","auto","1"
"118","118","83340","0.00493646959990671","minute","D","auto","2"
"119","119","168478","0.00846572674348182","minute","C","manufact","5"
"120","120","51241","0.000321760894962551","minute","C","auto","1"
"121","121","66104","0.0074034410199776","minute","D","software","2"
"122","122","80316","0.0139478035671575","minute","E","health","4"
"123","123","60114","0.0116448589691597","minute","C","telco","3"
"124","124","35938","0.00477851659646488","minute","E","health","6"
"125","125","73655","0.0339246323546538","minute","E","health","1"
"126","126","18026","0.0128040331966084","minute","C","auto","2"
"127","127","111605","0.00422968337529097","minute","D","auto","6"
"128","128","77949","0.00887438724550847","minute","B","software","2"
"129","129","150409","-0.00413308615788649","minute","E","manufact","3"
"130","130","119684","0.0120373857576031","minute","B","manufact","6"
"131","131","102104","0.0144049340828645","minute","C","telco","1"
"132","132","131367","0.00528478128180718","minute","C","health","4"
"133","133","80055","0.0109966633794347","minute","D","health","4"
"134","134","133237","0.0070533372636182","minute","D","health","1"
"135","135","104292","0.0132491537816989","minute","A","auto","3"
"136","136","112788","0.0265412537349251","minute","C","software","6"
"137","137","116856","0.026210361839621","minute","D","auto","1"
"138","138","58034","0.0220726579597029","minute","B","manufact","6"
"139","139","135292","0.00361292469991295","minute","E","manufact","6"
"140","140","100015","0.00259978563477951","minute","A","auto","3"
"141","141","57916","0.0236269583226183","minute","D","software","6"
"142","142","101362","0.0128293224511662","minute","B","health","4"
"143","143","90468","0.0247997299756567","minute","D","health","5"
"144","144","71483","0.015782739783717","minute","B","health","6"
"145","145","56423","0.0109746406883737","minute","E","manufact","3"
"146","146","97600","0.00194265543314892","minute","C","health","6"
"147","147","155644","0.0143487228403672","minute","C","software","6"
"148","148","102681","-0.00195754127771574","minute","E","manufact","5"
"149","149","89465","0.031360836385254","minute","C","auto","6"
"150","150","109246","0.0124433520793245","minute","B","telco","1"
"151","151","125017","0.0274632413904366","minute","E","auto","2"
"152","152","114560","0.00745989733476459","minute","A","telco","6"
"153","153","83690","0.013929084692992","minute","E","telco","4"
"154","154","51041","0.0103831791277613","minute","E","software","3"
"155","155","57579","0.0097587130613644","minute","E","health","2"
"156","156","72772","0.0151388455684886","minute","C","software","6"
"157","157","64933","0.014890306382783","minute","C","software","1"
"158","158","120348","0.0189281223761238","minute","C","health","5"
"159","159","53188","0.0163726065775742","minute","C","health","5"
"160","160","74778","0.0294842706929647","minute","B","manufact","2"
"161","161","42268","0.00179805180709863","minute","C","telco","1"
"162","162","39962","0.0176715438798694","minute","D","manufact","3"
"163","163","89826","0.000786358356819328","minute","C","software","3"
"164","164","118921","0.0150858297795107","minute","C","manufact","3"
"165","165","91495","0.0180296882011534","minute","E","health","1"
"166","166","78616","-0.000527130763766814","minute","E","health","1"
"167","167","113507","0.00756951375091382","minute","E","software","1"
"168","168","114688","0.000970936921224661","minute","D","telco","6"
"169","169","55984","0.00346325689842226","minute","B","health","6"
"170","170","78992","-0.0106524073797922","minute","D","auto","2"
"171","171","134446","0.007575399464277","minute","D","auto","6"
"172","172","136997","-0.00319547909674837","minute","D","manufact","1"
"173","173","102783","0.0230444807499986","minute","D","manufact","6"
"174","174","100903","0.0201196231156995","minute","A","software","3"
"175","175","108985","0.00268443389979197","minute","B","manufact","4"
"176","176","115249","-0.000483004731393032","minute","E","auto","4"
"177","177","85913","0.0106419046664912","minute","D","health","5"
"178","178","95461","-0.00354088472403497","minute","D","telco","4"
"179","179","132092","0.00511666161616981","minute","C","software","4"
"180","180","78312","0.00894184695002373","minute","E","auto","5"
"181","181","137650","0.0108830683011651","minute","D","manufact","4"
"182","182","105240","0.0230347109423524","minute","E","telco","5"
"183","183","124962","0.0063353995801206","minute","B","manufact","6"
"184","184","58437","0.00932402534355286","minute","D","telco","1"
"185","185","113864","0.00816717942535852","minute","A","health","3"
"186","186","95169","0.00686305582315203","minute","B","auto","2"
"187","187","122212","0.0148805355434705","minute","C","health","1"
"188","188","119821","0.00831470642263962","minute","D","health","5"
"189","189","94785","0.00464688617408653","minute","A","manufact","1"
"190","190","155592","0.0025571034837994","minute","B","health","2"
"191","191","78631","0.0141817293952519","minute","A","manufact","2"
"192","192","60738","0.00514115125196287","minute","C","health","6"
"193","193","155669","0.0137167602833795","minute","D","software","3"
"194","194","82299","0.0306458940354709","minute","D","telco","2"
"195","195","78466","0.00141250398185567","minute","C","health","4"
"196","196","89593","-0.0017933793885415","minute","A","health","1"
"197","197","86346","-0.00897466900526423","minute","B","auto","5"
"198","198","64492","0.0267556062107615","minute","D","health","1"
"199","199","116724","-0.0052095666936623","minute","E","health","5"
"200","200","60583","0.014172835732076","minute","C","manufact","3"
"201","201","88561","-0.017199681947833","minute","C","software","2"
"202","202","91248","0.0144066444610438","minute","B","software","1"
"203","203","71964","0.029666452646355","minute","D","telco","6"
"204","204","119986","0.0166476694226106","minute","B","telco","3"
"205","205","107094","-0.00222082231995615","minute","E","auto","2"
"206","206","109684","0.0169523300660225","minute","A","manufact","2"
"207","207","104898","0.00641556133208652","minute","E","manufact","2"
"208","208","118920","0.0128372490610322","minute","D","auto","1"
"209","209","49276","0.00653934734126411","minute","C","telco","2"
"210","210","94893","0.00532856928660162","minute","D","software","3"
"211","211","74746","0.00844381059719332","minute","E","manufact","4"
"212","212","66149","0.00157148650476194","minute","C","telco","2"
"213","213","110471","0.0207915327105805","minute","C","auto","5"
"214","214","99027","0.00166500181244836","minute","B","auto","3"
"215","215","87463","0.000813744523507517","minute","B","auto","5"
"216","216","163224","-0.00995505060449735","minute","D","health","2"
"217","217","77649","0.00949952465520803","minute","D","software","6"
"218","218","127165","0.0121977297214184","minute","A","health","5"
"219","219","104234","0.00722822923364862","minute","E","health","2"
"220","220","66178","0.0151507121757655","minute","A","health","3"
"221","221","127571","0.0166081058171623","minute","C","auto","5"
"222","222","99934","0.00708364564375043","minute","B","auto","3"
"223","223","48731","0.00588976988281008","minute","A","manufact","4"
"224","224","116885","0.0109569465846013","minute","B","telco","2"
"225","225","65784","0.00792821451988547","minute","C","software","5"
"226","226","107544","0.00930959381631498","minute","C","health","5"
"227","227","162660","0.0364008328437848","minute","E","health","6"
"228","228","92341","-0.00401354428361946","minute","D","telco","2"
"229","229","120990","-0.000427956387841846","minute","B","manufact","3"
"230","230","85801","0.0106659443641135","minute","B","auto","5"
"231","231","107944","0.00501986771156612","minute","D","health","1"
"232","232","69972","0.010190135527461","minute","C","health","5"
"233","233","93252","0.0137320290127539","minute","A","telco","2"
"234","234","139899","-0.00136266609876973","minute","A","auto","4"
"235","235","123341","0.00229215208163964","minute","E","telco","4"
"236","236","58493","0.00335827736121841","minute","A","manufact","6"
"237","237","76993","0.0135079397012432","minute","C","telco","1"
"238","238","87200","0.00282063819875531","minute","B","health","5"
"239","239","98920","0.00200256425719413","minute","B","manufact","5"
"240","240","130403","0.00950927980763329","minute","C","manufact","3"
"241","241","129803","0.0116168301079557","minute","E","health","4"
"242","242","104941","-0.00221667711505546","minute","C","health","2"
"243","243","96595","0.00802348302812998","minute","C","health","1"
"244","244","116685","0.00906564151126301","minute","B","auto","1"
"245","245","98453","0.0221944174195408","minute","E","auto","6"
"246","246","106842","-0.00229878627466074","minute","C","telco","5"
"247","247","67200","0.0118396640955775","minute","A","manufact","5"
"248","248","85012","0.0132989557650973","minute","C","software","2"
"249","249","113420","-0.00775803516788649","minute","D","auto","3"
"250","250","116663","0.00222439223430521","minute","B","health","6"
"251","251","58423","-0.0052496248378859","minute","D","auto","4"
"252","252","125998","0.00639947536134292","minute","C","software","6"
"253","253","52374","0.0206619860141665","minute","E","health","3"
"254","254","49441","0.0032864946578547","minute","A","manufact","4"
"255","255","99504","0.000457638816862836","minute","E","software","4"
"256","256","110877","0.0193458730773032","minute","D","health","3"
"257","257","107741","0.0210256088985454","minute","E","health","1"
"258","258","125557","-0.0142463515893389","minute","B","auto","4"
"259","259","15346","-0.000685228057555876","minute","D","auto","6"
"260","260","123509","0.0240435516229607","minute","E","auto","2"
"261","261","55967","0.0128467964872297","minute","E","software","6"
"262","262","77235","0.0136328903029318","minute","C","auto","6"
"263","263","69857","0.0183257911604533","minute","B","software","6"
"264","264","110777","0.0154592260443311","minute","A","telco","4"
"265","265","71971","0.0170064970002679","minute","B","auto","2"
"266","266","134097","-0.00205047172033985","minute","D","software","4"
"267","267","126133","0.0155017501266395","minute","B","telco","1"
"268","268","63519","0.0251605830861411","minute","C","software","6"
"269","269","94396","-0.0105192821446985","minute","A","health","6"
"270","270","44864","0.00674154666493709","minute","B","telco","5"
"271","271","111559","-0.00238314757043951","minute","B","manufact","1"
"272","272","82114","0.00498454884658254","minute","A","telco","5"
"273","273","118510","0.000755451777738878","minute","E","software","5"
"274","274","140734","0.0346892614167408","minute","D","telco","5"
"275","275","95780","0.0143825074024261","minute","D","telco","5"
"276","276","125969","0.0233783799377493","minute","B","health","3"
"277","277","89916","0.00468103808470433","minute","C","health","1"
"278","278","58706","0.0143515526523349","minute","E","auto","3"
"279","279","73465","0.0209961957261092","minute","C","software","2"
"280","280","103534","-0.00667084749542428","minute","C","software","5"
"281","281","147857","-0.000569760763337271","minute","A","auto","5"
"282","282","117631","-0.000239882676886521","minute","C","auto","1"
"283","283","66150","0.0205135302218554","minute","E","software","3"
"284","284","83954","0.00243580109665912","minute","B","auto","1"
"285","285","61299","0.0147931747559928","minute","C","health","1"
"286","286","58217","0.00979907006133314","minute","B","telco","4"
"287","287","88330","0.0174601514015274","minute","C","telco","2"
"288","288","124304","0.0238443730428042","minute","E","software","6"
"289","289","94898","-0.0147778261188494","minute","D","auto","5"
"290","290","55622","-0.000133529263097449","minute","E","software","6"
"291","291","131922","0.0301373770708502","minute","E","telco","3"
"292","292","123211","0.00576593169611966","minute","D","health","2"
"293","293","154345","0.00195629945160021","minute","D","manufact","6"
"294","294","98260","0.00534605673409031","minute","A","auto","4"
"295","295","96977","0.0122141534895336","minute","A","auto","3"
"296","296","100973","0.0104089234456032","minute","B","auto","2"
"297","297","152026","0.0242550584099186","minute","B","manufact","5"
"298","298","97850","0.0148839774404611","minute","B","auto","6"
"299","299","115144","0.0138301532813794","minute","C","auto","2"
"300","300","69833","0.0280538758524249","minute","E","telco","6"
"301","301","130749","0.011023911672677","minute","D","telco","6"
"302","302","140879","0.0055679095729579","minute","A","health","2"
"303","303","57202","0.0218541010611961","minute","D","manufact","1"
"304","304","188634","0.0169043418769856","minute","E","telco","6"
"305","305","102709","0.00699283189345989","minute","D","software","4"
"306","306","145725","-0.000159075132103462","minute","E","telco","6"
"307","307","115791","0.0220669228249255","minute","E","telco","4"
"308","308","110852","0.0283369358877774","minute","C","health","2"
"309","309","122255","0.0200620581863135","minute","A","software","3"
"310","310","115398","0.00235967190217157","minute","E","auto","2"
"311","311","53775","0.0121715246713758","minute","E","telco","1"
"312","312","86757","0.00556959807693792","minute","D","health","3"
"313","313","108826","-0.00288890961668384","minute","B","health","6"
"314","314","48501","-0.00438915103265528","minute","E","telco","6"
"315","315","97700","-0.0084909283005188","minute","E","manufact","3"
"316","316","97167","0.0105871839652258","minute","E","telco","1"
"317","317","82331","0.010967659407388","minute","A","auto","1"
"318","318","66357","0.00918362384378671","minute","B","auto","4"
"319","319","123310","0.00650522326742554","minute","D","software","2"
"320","320","83624","0.0182962685022776","minute","E","manufact","2"
"321","321","106489","0.00335267206949196","minute","A","telco","4"
"322","322","69336","0.013009980737247","minute","B","telco","4"
"323","323","66580","0.00330150614947181","minute","A","telco","6"
"324","324","92785","0.0228278861135014","minute","C","telco","4"
"325","325","86975","0.00112606683619535","minute","B","auto","5"
"326","326","130794","0.003202972717114","minute","B","health","1"
"327","327","43836","0.014079086361119","minute","A","telco","6"
"328","328","115127","0.0103018422721647","minute","D","auto","3"
"329","329","69574","0.0305947524971497","minute","C","manufact","1"
"330","330","72622","0.00685203000764881","minute","B","telco","4"
"331","331","102664","0.00374696624805839","minute","D","auto","6"
"332","332","94652","0.0111004944444576","minute","D","manufact","1"
"333","333","116786","0.0286270387048312","minute","B","health","6"
"334","334","102439","0.0247878298490102","minute","E","software","2"
"335","335","140211","0.0349991422679016","minute","D","health","4"
"336","336","77644","0.00714611321974699","minute","A","telco","1"
"337","337","81262","0.0301704256881944","minute","C","telco","2"
"338","338","137378","-0.00649178844876078","minute","A","manufact","3"
"339","339","172560","0.0104167280772428","minute","D","telco","3"
"340","340","56329","0.0277176092963991","minute","E","auto","3"
"341","341","96268","0.0148753250826114","minute","C","software","4"
"342","342","50679","-0.00654674099807662","minute","C","health","4"
"343","343","86536","0.0137436286503092","minute","E","auto","4"
"344","344","81081","0.0138261699849088","minute","A","health","6"
"345","345","107983","0.0073113830954764","minute","B","software","4"
"346","346","52452","0.00445445314647167","minute","A","software","4"
"347","347","66946","0.0198007480081075","minute","E","auto","3"
"348","348","136856","0.00823139563168323","minute","B","software","5"
"349","349","114985","-0.00264769695744073","minute","D","telco","5"
"350","350","86616","-0.00608613554267701","minute","B","telco","6"
"351","351","137363","0.0262022298760569","minute","E","health","2"
"352","352","99153","0.0095783984605813","minute","A","software","6"
"353","353","50567","0.014727831937941","minute","E","software","5"
"354","354","69749","-0.00922508803289581","minute","A","software","1"
"355","355","93753","0.0101690248314751","minute","D","software","6"
"356","356","120513","0.0327597765073257","minute","C","telco","6"
"357","357","69032","0.0156133863987119","minute","C","manufact","5"
"358","358","74751","0.00640105721497341","minute","E","software","4"
"359","359","80469","0.0106209412636593","minute","A","telco","2"
"360","360","79286","0.0122453313817251","minute","D","software","4"
"361","361","111756","0.00797288541885479","minute","A","auto","4"
"362","362","109966","-0.00807773771805703","minute","D","health","3"
"363","363","119768","0.0148559065766544","minute","E","software","2"
"364","364","104169","0.0128831846647475","minute","E","software","3"
"365","365","45401","0.0132170387114814","minute","E","health","2"
"366","366","122828","0.00345070662284689","minute","B","manufact","4"
"367","367","90893","0.00261888417384077","minute","A","manufact","1"
"368","368","81416","0.00990482447982202","minute","D","software","1"
"369","369","48380","0.0388173564330453","minute","A","health","3"
"370","370","62921","-0.00987291900566266","minute","A","manufact","6"
"371","371","141723","0.0268002117132977","minute","D","software","2"
"372","372","98022","0.0130781568042955","minute","A","telco","5"
"373","373","86817","0.00485580985936951","minute","A","auto","5"
"374","374","114070","0.00680080906821277","minute","B","telco","1"
"375","375","88670","0.0110479703350569","minute","A","health","3"
"376","376","119104","0.0106559603797182","minute","C","software","6"
"377","377","99339","0.0225646484573609","minute","E","software","2"
"378","378","46558","0.0247415403479793","minute","D","auto","5"
"379","379","42803","-0.000576111499703973","minute","A","manufact","6"
"380","380","99846","0.0169710938545996","minute","B","auto","5"
"381","381","47650","0.0187566949565472","minute","A","auto","4"
"382","382","108344","0.00732535309691221","minute","C","telco","1"
"383","383","107509","0.0075456457713754","minute","A","manufact","3"
"384","384","118490","0.022120820870111","minute","E","health","2"
"385","385","108372","0.0118296501276043","minute","B","manufact","4"
"386","386","75183","0.0378566368250001","minute","D","auto","3"
"387","387","53104","0.00737687878719224","minute","E","telco","6"
"388","388","126146","0.00355030528893538","minute","B","health","2"
"389","389","143950","0.00635219038017147","minute","B","software","5"
"390","390","112061","0.0254628889132842","minute","A","software","5"
"391","391","108996","0.00859076563060212","minute","D","auto","5"
"392","392","61390","0.01540130919781","minute","D","manufact","4"
"393","393","94908","0.0160836160622631","minute","A","telco","5"
"394","394","127953","0.0063701614597925","minute","A","manufact","2"
"395","395","121056","0.00985680667390621","minute","D","telco","5"
"396","396","112379","0.0225287734062635","minute","D","health","1"
"397","397","92468","0.00633962282521315","minute","D","telco","3"
"398","398","125527","0.0145372684735929","minute","C","auto","4"
"399","399","114029","0.0248578201207927","minute","E","auto","3"
"400","400","90025","-0.0031320298303469","minute","C","auto","6"
"401","401","101811","0.0161819811075921","minute","B","telco","6"
"402","402","95704","0.0132982441970395","minute","E","health","4"
"403","403","115811","-0.00106403669593863","minute","B","software","4"
"404","404","115262","-0.0060220973217597","minute","A","health","4"
"405","405","89040","0.0276869077438533","minute","A","health","1"
"406","406","93645","0.0154156142702229","minute","A","manufact","2"
"407","407","160473","0.00592455842927543","minute","A","auto","5"
"408","408","81006","0.0106855514272293","minute","E","telco","2"
"409","409","108572","0.022789365286083","minute","A","manufact","6"
"410","410","154506","0.00915329447683385","minute","D","manufact","3"
"411","411","86669","0.016818070834344","minute","D","manufact","4"
"412","412","43035","0.00467919490868998","minute","B","telco","1"
"413","413","64902","0.000281664335845373","minute","E","auto","6"
"414","414","87212","0.0189317256826611","minute","D","software","6"
"415","415","15746","0.00404145091843487","minute","C","auto","5"
"416","416","120288","0.0146581780006579","minute","E","software","6"
"417","417","88409","-0.000878100318102577","minute","B","health","4"
"418","418","126989","0.00799624972003105","minute","C","health","3"
"419","419","102113","-0.00189350726986739","minute","B","telco","1"
"420","420","54872","0.00500986529942461","minute","D","telco","1"
"421","421","148493","0.0175855338054581","minute","B","software","1"
"422","422","53227","0.0116595708833353","minute","B","telco","6"
"423","423","120988","0.00340548463552191","minute","B","health","2"
"424","424","81724","0.0263440076087181","minute","B","telco","2"
"425","425","108404","0.0141261144445881","minute","D","auto","3"
"426","426","114786","-0.00413795329134616","minute","B","telco","4"
"427","427","138225","0.0122218159984809","minute","B","auto","1"
"428","428","118356","0.0171774027125713","minute","B","auto","2"
"429","429","106189","0.00270082174490676","minute","D","telco","1"
"430","430","86247","0.017159982245347","minute","E","software","1"
"431","431","103237","0.0221927742463892","minute","B","telco","6"
"432","432","50978","0.00158827426855714","minute","D","health","6"
"433","433","161061","0.0121705310008389","minute","B","telco","3"
"434","434","105005","0.00280356547518583","minute","C","auto","1"
"435","435","23563","0.004600368855457","minute","C","health","3"
"436","436","119635","0.00460327437451446","minute","B","software","5"
"437","437","78160","0.00891944879016458","minute","C","software","3"
"438","438","108032","0.0165620389572652","minute","B","software","5"
"439","439","87842","-0.0157193240249084","minute","D","manufact","1"
"440","440","66439","0.00123025084340156","minute","D","manufact","1"
"441","441","45317","0.00386552905863481","minute","A","telco","2"
"442","442","121749","0.0056171096285785","minute","B","telco","3"
"443","443","114696","0.00720684597719806","minute","E","software","1"
"444","444","96785","0.0245807046057787","minute","A","manufact","3"
"445","445","93070","0.0255102414230219","minute","B","telco","3"
"446","446","118173","0.0203969655079836","minute","B","telco","4"
"447","447","84507","0.0072644176966999","minute","A","telco","3"
"448","448","115361","0.024876598121096","minute","D","health","4"
"449","449","100494","0.00983425956949539","minute","D","manufact","5"
"450","450","106878","0.0147224979141573","minute","C","health","5"
"451","451","83262","0.0238092555151579","minute","D","health","3"
"452","452","121390","0.0241763842114598","minute","C","health","3"
"453","453","74253","0.0155027164410764","minute","E","auto","6"
"454","454","111635","0.0107530447314501","minute","D","health","6"
"455","455","63203","0.00763812953380459","minute","D","software","1"
"456","456","85737","0.0119367608281484","minute","C","telco","1"
"457","457","145524","-0.000900514547687262","minute","C","health","6"
"458","458","54379","0.0294342562413549","minute","C","auto","5"
"459","459","91139","0.0190194193709591","minute","D","software","6"
"460","460","144024","0.00439284335418851","minute","C","manufact","2"
"461","461","90118","-0.00732335631320675","minute","C","health","4"
"462","462","132098","0.0224490531215852","minute","C","health","6"
"463","463","110229","0.00900259595237986","minute","D","health","1"
"464","464","92007","0.018298976674052","minute","B","telco","2"
"465","465","80576","0.0186334616082198","minute","D","telco","5"
"466","466","124507","0.0231820474044003","minute","A","manufact","3"
"467","467","128787","6.10182465274403e-05","minute","C","manufact","5"
"468","468","111488","0.0113762005502227","minute","A","telco","5"
"469","469","67368","0.0138389079981316","minute","A","manufact","3"
"470","470","76929","0.0109076909374547","minute","B","health","2"
"471","471","137254","0.00187922514559078","minute","B","auto","5"
"472","472","102639","0.00949046880219148","minute","D","manufact","5"
"473","473","92575","-0.00326167069266584","minute","E","software","6"
"474","474","39396","0.012217037241654","minute","D","telco","4"
"475","475","33592","0.000161697775825516","minute","E","software","1"
"476","476","48616","0.0164615651237775","minute","B","telco","3"
"477","477","71492","0.00936767808288959","minute","B","telco","3"
"478","478","101735","0.010912604248705","minute","D","auto","3"
"479","479","101541","-0.00647106728804082","minute","C","health","6"
"480","480","149315","0.0202084234264374","minute","D","software","1"
"481","481","77613","0.0324790672969008","minute","B","auto","6"
"482","482","46766","0.0185467826011197","minute","B","health","6"
"483","483","73305","0.0154153471316053","minute","E","software","1"
"484","484","139317","0.0269198559412234","minute","C","health","5"
"485","485","78725","0.0120853988561884","minute","B","auto","2"
"486","486","79912","0.0173391527709771","minute","D","manufact","2"
"487","487","136161","0.0161825595216257","minute","E","software","4"
"488","488","29574","-0.00326555451006257","minute","C","auto","5"
"489","489","113367","0.0130291511699651","minute","B","software","2"
"490","490","87513","0.00731769115015729","minute","C","health","3"
"491","491","137647","0.0275589283639508","minute","D","auto","5"
"492","492","64647","0.0173208118086669","minute","B","manufact","4"
"493","493","118068","0.0100746583506918","minute","A","software","3"
"494","494","89551","0.0131489503349899","minute","D","auto","6"
"495","495","103862","0.00777827443442683","minute","C","health","2"
"496","496","87505","0.00168640013697815","minute","D","manufact","5"
"497","497","106376","0.0124277159992988","minute","A","manufact","6"
"498","498","168417","0.00712068540911461","minute","B","telco","2"
"499","499","46337","0.0157451486051924","minute","A","software","1"
"500","500","108150","0.0249526888948389","minute","C","manufact","3"
"501","1","68833","0.0481323353765945","day","E","health","2"
"502","2","95818","0.0317478094107868","day","C","health","6"
